Iter,Time,S,E,I,R
0,0.0,900.0,100.0,0.0,0.0
1,0.0048398924583221,900.0,99.0,1.0,0.0
2,0.0814631244230914,900.0,98.0,2.0,0.0
3,0.08225241061061074,900.0,97.0,3.0,0.0
4,0.11562397228808952,900.0,96.0,4.0,0.0
5,0.13185279738148054,900.0,96.0,3.0,0.0
6,0.18771657662095054,900.0,95.0,4.0,0.0
7,0.20524067139978425,899.0,96.0,4.0,0.0
8,0.23918909209099234,899.0,95.0,5.0,0.0
9,0.26483041247819267,899.0,94.0,6.0,0.0
10,0.34527131855616305,899.0,93.0,7.0,0.0
11,0.3523077339008065,899.0,92.0,8.0,0.0
12,0.3907608780840177,899.0,91.0,9.0,0.0
13,0.3920030711828522,899.0,90.0,10.0,0.0
14,0.5407768215717926,899.0,89.0,11.0,0.0
15,0.5564753214970896,899.0,88.0,12.0,0.0
16,0.6237356458654598,899.0,87.0,13.0,0.0
17,0.6938423212308187,899.0,86.0,14.0,0.0
18,0.7967889297759366,899.0,85.0,15.0,0.0
19,0.8103320352204234,899.0,84.0,16.0,0.0
20,0.8516091838998142,899.0,83.0,17.0,0.0
21,0.8543453304523303,899.0,82.0,18.0,0.0
22,0.8724980524892887,899.0,81.0,19.0,0.0
23,0.9086390234191227,899.0,80.0,20.0,0.0
24,0.9166868679584258,898.0,81.0,20.0,0.0
25,0.9211952501135396,897.0,82.0,20.0,0.0
26,0.9751956972385014,897.0,81.0,21.0,0.0
27,1.0188990072614388,897.0,80.0,22.0,0.0
28,1.0294737288252598,897.0,79.0,23.0,0.0
29,1.0681696726908725,897.0,78.0,24.0,0.0
30,1.1236325560608673,897.0,77.0,25.0,0.0
31,1.1287009146456173,897.0,76.0,26.0,0.0
32,1.2246759879811064,896.0,77.0,26.0,0.0
33,1.2371665257645195,896.0,76.0,27.0,0.0
34,1.294464983722236,896.0,75.0,28.0,0.0
35,1.4119058238392097,896.0,74.0,29.0,0.0
36,1.4316157449778844,896.0,73.0,30.0,0.0
37,1.458606837859949,895.0,74.0,30.0,0.0
38,1.4786342057961983,894.0,75.0,30.0,0.0
39,1.4917029520485587,893.0,76.0,30.0,0.0
40,1.5276657545744388,893.0,75.0,31.0,0.0
41,1.5296261566347586,893.0,74.0,32.0,0.0
42,1.5590469052057891,892.0,75.0,32.0,0.0
43,1.6927392444213174,892.0,74.0,33.0,0.0
44,1.731297645352453,892.0,74.0,32.0,0.0
45,1.7524320086309475,892.0,73.0,33.0,0.0
46,1.768616175680917,891.0,74.0,33.0,0.0
47,1.7872186857419663,891.0,73.0,34.0,0.0
48,1.8520555816610578,890.0,74.0,34.0,0.0
49,1.8536488082079332,889.0,75.0,34.0,0.0
50,1.8725636795274028,888.0,76.0,34.0,0.0
51,1.8859819575075585,888.0,75.0,35.0,0.0
52,1.8936802698021387,888.0,75.0,34.0,0.0
53,1.896145608671908,888.0,74.0,35.0,0.0
54,1.8973827601366464,888.0,74.0,34.0,0.0
55,1.9130821679381589,887.0,75.0,34.0,0.0
56,1.934635993197616,887.0,74.0,35.0,0.0
57,2.0310857504939412,886.0,75.0,35.0,0.0
58,2.070536156089298,886.0,75.0,34.0,0.0
59,2.085687874686725,886.0,75.0,33.0,0.0
60,2.1145735660410594,886.0,74.0,34.0,0.0
61,2.116976954775181,886.0,73.0,35.0,0.0
62,2.122490881497669,885.0,74.0,35.0,0.0
63,2.1257232487744506,884.0,75.0,35.0,0.0
64,2.2286114887302046,884.0,74.0,36.0,0.0
65,2.264356648049398,883.0,75.0,36.0,0.0
66,2.3007807635438007,883.0,75.0,35.0,0.0
67,2.301105614330595,883.0,75.0,34.0,0.0
68,2.3279100109236763,882.0,76.0,34.0,0.0
69,2.3803369464010187,882.0,75.0,35.0,0.0
70,2.5045303650719264,882.0,74.0,36.0,0.0
71,2.5250612244505515,881.0,75.0,36.0,0.0
72,2.5601566532300355,880.0,76.0,36.0,0.0
73,2.656114877514639,879.0,77.0,36.0,0.0
74,2.6702978839107328,879.0,76.0,37.0,0.0
75,2.6894468891907155,879.0,76.0,36.0,0.0
76,2.7175231865730356,879.0,75.0,37.0,0.0
77,2.839896347142569,878.0,76.0,37.0,0.0
78,2.91776618159403,878.0,75.0,38.0,0.0
79,2.921739946770512,878.0,75.0,37.0,0.0
80,2.939253094387072,878.0,74.0,38.0,0.0
81,3.059539407980554,877.0,75.0,38.0,0.0
82,3.072657634509444,877.0,74.0,39.0,0.0
83,3.110807041382665,877.0,73.0,40.0,0.0
84,3.119359660682612,877.0,73.0,39.0,0.0
85,3.130000343488438,877.0,72.0,40.0,0.0
86,3.191657399228508,876.0,73.0,40.0,0.0
87,3.234501295763454,876.0,73.0,39.0,0.0
88,3.2459933919539172,876.0,72.0,40.0,0.0
89,3.2485514684370638,875.0,73.0,40.0,0.0
90,3.2640934702490045,874.0,74.0,40.0,0.0
91,3.2816551280057182,874.0,73.0,41.0,0.0
92,3.2926597891579044,874.0,73.0,40.0,0.0
93,3.3585967508739882,873.0,74.0,40.0,0.0
94,3.3662231053490745,872.0,75.0,40.0,0.0
95,3.389476985959145,872.0,74.0,41.0,0.0
96,3.3896080851183896,872.0,73.0,42.0,0.0
97,3.4253151849245227,872.0,73.0,41.0,0.0
98,3.550907745745599,872.0,72.0,42.0,0.0
99,3.588821504628476,872.0,72.0,41.0,0.0
100,3.6147855610632007,871.0,73.0,41.0,0.0
101,3.6856036816615743,871.0,72.0,42.0,0.0
102,3.7431420501613326,870.0,73.0,42.0,0.0
103,3.768145896382855,870.0,72.0,43.0,0.0
104,3.791810326121196,870.0,72.0,42.0,0.0
105,3.7968655599753593,870.0,71.0,43.0,0.0
106,3.803374076377506,870.0,70.0,44.0,0.0
107,3.8059765049817424,870.0,70.0,43.0,0.0
108,3.8765429594773,870.0,69.0,44.0,0.0
109,3.907152835912507,870.0,68.0,45.0,0.0
110,3.936074915891571,870.0,68.0,44.0,0.0
111,3.953151750354708,869.0,69.0,44.0,0.0
112,3.9650655834318784,869.0,68.0,45.0,0.0
113,4.026054902760305,868.0,69.0,45.0,0.0
114,4.037439887865729,867.0,70.0,45.0,0.0
115,4.047466703809493,867.0,69.0,46.0,0.0
116,4.053534302750004,867.0,69.0,45.0,0.0
117,4.059775363720878,867.0,69.0,44.0,0.0
118,4.167603223699585,867.0,69.0,43.0,0.0
119,4.1794997662763524,867.0,68.0,44.0,0.0
120,4.2139595103021605,866.0,69.0,44.0,0.0
121,4.269186550174417,866.0,69.0,43.0,0.0
122,4.3444470145712115,866.0,68.0,44.0,0.0
123,4.372196502099235,865.0,69.0,44.0,0.0
124,4.375896685624024,865.0,68.0,45.0,0.0
125,4.39045837108918,864.0,69.0,45.0,0.0
126,4.40186070252748,864.0,69.0,44.0,0.0
127,4.4540410188245,864.0,69.0,43.0,0.0
128,4.460999229296144,864.0,68.0,44.0,0.0
129,4.514351135501676,863.0,69.0,44.0,0.0
130,4.540518140290757,862.0,70.0,44.0,0.0
131,4.5417663549571134,862.0,70.0,43.0,0.0
132,4.54558436708196,861.0,71.0,43.0,0.0
133,4.567274816598331,860.0,72.0,43.0,0.0
134,4.583434110801176,860.0,72.0,42.0,0.0
135,4.621394844309192,860.0,72.0,41.0,0.0
136,4.652720288952237,860.0,71.0,42.0,0.0
137,4.699094354289958,860.0,70.0,43.0,0.0
138,4.753255665007873,860.0,69.0,44.0,0.0
139,4.768708471264427,860.0,68.0,45.0,0.0
140,4.770953166756811,860.0,67.0,46.0,0.0
141,4.792719724340763,860.0,66.0,47.0,0.0
142,4.824063705722864,860.0,66.0,46.0,0.0
143,4.827556518884581,860.0,65.0,47.0,0.0
144,4.865562561563737,860.0,64.0,48.0,0.0
145,4.907340259262614,859.0,65.0,48.0,0.0
146,4.943463446798765,859.0,64.0,49.0,0.0
147,4.947222463580464,859.0,63.0,50.0,0.0
148,5.015452601757353,858.0,64.0,50.0,0.0
149,5.018494494843692,857.0,65.0,50.0,0.0
150,5.050134869396538,857.0,65.0,49.0,0.0
151,5.097764476557269,856.0,66.0,49.0,0.0
152,5.156897762114206,856.0,65.0,50.0,0.0
153,5.176738504312409,856.0,64.0,51.0,0.0
154,5.215800765072962,855.0,65.0,51.0,0.0
155,5.284562139505484,854.0,66.0,51.0,0.0
156,5.299251201936097,854.0,66.0,50.0,0.0
157,5.348934796022513,854.0,65.0,51.0,0.0
158,5.394589650980126,854.0,64.0,52.0,0.0
159,5.4583385977427845,853.0,65.0,52.0,0.0
160,5.4760537490333245,852.0,66.0,52.0,0.0
161,5.544791086049354,851.0,67.0,52.0,0.0
162,5.548603378678342,851.0,66.0,53.0,0.0
163,5.56745678528826,851.0,65.0,54.0,0.0
164,5.575784061707202,851.0,64.0,55.0,0.0
165,5.6066649217367175,851.0,63.0,56.0,0.0
166,5.615896470789228,850.0,64.0,56.0,0.0
167,5.653385915800323,849.0,65.0,56.0,0.0
168,5.654842930543251,848.0,66.0,56.0,0.0
169,5.656342958874169,848.0,65.0,57.0,0.0
170,5.704751157739911,848.0,64.0,58.0,0.0
171,5.774193350944185,847.0,65.0,58.0,0.0
172,5.804642702635203,847.0,64.0,59.0,0.0
173,5.814177161467714,847.0,63.0,60.0,0.0
174,5.883851261056267,846.0,64.0,60.0,0.0
175,5.923425791188568,845.0,65.0,60.0,0.0
176,5.945682877806749,845.0,65.0,59.0,0.0
177,5.946253908529013,845.0,65.0,58.0,0.0
178,5.9486009685008705,844.0,66.0,58.0,0.0
179,5.949736376431874,844.0,66.0,57.0,0.0
180,5.974463414478939,844.0,66.0,56.0,0.0
181,5.9967721529067,844.0,66.0,55.0,0.0
182,6.018617516452335,843.0,67.0,55.0,0.0
183,6.046309416974353,842.0,68.0,55.0,0.0
184,6.058417270832332,842.0,68.0,54.0,0.0
185,6.070075769789478,842.0,67.0,55.0,0.0
186,6.107248604495142,842.0,66.0,56.0,0.0
187,6.15747792119228,841.0,67.0,56.0,0.0
188,6.158612087448611,841.0,66.0,57.0,0.0
189,6.195002397111041,841.0,65.0,58.0,0.0
190,6.244592754644797,841.0,65.0,57.0,0.0
191,6.34422044219382,840.0,66.0,57.0,0.0
192,6.603587532570803,840.0,65.0,58.0,0.0
193,6.726702477407224,839.0,66.0,58.0,0.0
194,6.72760831666369,839.0,66.0,57.0,0.0
195,6.813778000237422,838.0,67.0,57.0,0.0
196,6.833750716252071,837.0,68.0,57.0,0.0
197,6.8393887760593906,836.0,69.0,57.0,0.0
198,6.942060275748381,836.0,68.0,58.0,0.0
199,6.9450526550187925,835.0,69.0,58.0,0.0
200,6.947932653575643,834.0,70.0,58.0,0.0
