Iter,Time,S,E,I,R
0,0.0,900.0,100.0,0.0,0.0
1,0.0711836868650628,900.0,99.0,1.0,0.0
2,0.240488440707084,900.0,98.0,2.0,0.0
3,0.25575903067513395,900.0,97.0,3.0,0.0
4,0.25804673318794497,900.0,96.0,4.0,0.0
5,0.28317310299769294,900.0,95.0,5.0,0.0
6,0.2941909891561022,900.0,94.0,6.0,0.0
7,0.41777545940918853,900.0,93.0,7.0,0.0
8,0.766602092070386,900.0,92.0,8.0,0.0
9,0.7692079728690567,900.0,91.0,9.0,0.0
10,0.7996703458848825,900.0,90.0,10.0,0.0
11,0.8241137541136391,900.0,89.0,11.0,0.0
12,0.8532836863217212,900.0,89.0,10.0,0.0
13,0.8950719544124004,900.0,89.0,9.0,0.0
14,0.9850367947962441,900.0,88.0,10.0,0.0
15,1.0287037721164527,900.0,87.0,11.0,0.0
16,1.0327848060616995,900.0,86.0,12.0,0.0
17,1.0372221721733992,900.0,85.0,13.0,0.0
18,1.054934262566513,900.0,84.0,14.0,0.0
19,1.0744410583548012,900.0,83.0,15.0,0.0
20,1.0890049271780309,899.0,84.0,15.0,0.0
21,1.0896906795915045,899.0,83.0,16.0,0.0
22,1.2324983677820527,899.0,82.0,17.0,0.0
23,1.2928752799575127,899.0,81.0,18.0,0.0
24,1.3346373321340155,899.0,80.0,19.0,0.0
25,1.3708077290499936,899.0,80.0,18.0,0.0
26,1.4118344411453976,899.0,79.0,19.0,0.0
27,1.4380285669775734,899.0,78.0,20.0,0.0
28,1.5350826146730092,899.0,77.0,21.0,0.0
29,1.642833676791613,899.0,76.0,22.0,0.0
30,1.6657761607481312,899.0,75.0,23.0,0.0
31,1.7019223254158702,899.0,75.0,22.0,0.0
32,1.7050502287368638,899.0,74.0,23.0,0.0
33,1.7367345806574792,899.0,73.0,24.0,0.0
34,1.7631098972691968,899.0,72.0,25.0,0.0
35,1.8104456924534462,899.0,72.0,24.0,0.0
36,1.8209477082822698,899.0,71.0,25.0,0.0
37,2.03480277927342,899.0,70.0,26.0,0.0
38,2.0422545194541066,898.0,71.0,26.0,0.0
39,2.067171895242206,898.0,70.0,27.0,0.0
40,2.1777310620896073,898.0,70.0,26.0,0.0
41,2.2577072361939066,897.0,71.0,26.0,0.0
42,2.327468926436167,896.0,72.0,26.0,0.0
43,2.3676735043513926,896.0,71.0,27.0,0.0
44,2.380335276220842,896.0,70.0,28.0,0.0
45,2.4651559561188146,896.0,69.0,29.0,0.0
46,2.4760469981794966,896.0,68.0,30.0,0.0
47,2.4824185123685085,895.0,69.0,30.0,0.0
48,2.5266201577415672,895.0,68.0,31.0,0.0
49,2.5282602997209103,895.0,67.0,32.0,0.0
50,2.631034460781739,895.0,67.0,31.0,0.0
51,2.659954969031419,895.0,66.0,32.0,0.0
52,2.702817370533937,895.0,65.0,33.0,0.0
53,2.703781810850575,894.0,66.0,33.0,0.0
54,2.7260630501310845,893.0,67.0,33.0,0.0
55,2.752956865164728,892.0,68.0,33.0,0.0
56,2.8026712873096855,892.0,67.0,34.0,0.0
57,2.863583351836563,892.0,66.0,35.0,0.0
58,2.933451487956673,891.0,67.0,35.0,0.0
59,2.9476826368743847,891.0,66.0,36.0,0.0
60,2.999723856297185,891.0,65.0,37.0,0.0
61,3.075966878207565,890.0,66.0,37.0,0.0
62,3.0889340057931114,890.0,66.0,36.0,0.0
63,3.131343946946639,890.0,65.0,37.0,0.0
64,3.1603769610287786,890.0,64.0,38.0,0.0
65,3.2112597678297927,889.0,65.0,38.0,0.0
66,3.233191431900628,889.0,64.0,39.0,0.0
67,3.2532974110083823,888.0,65.0,39.0,0.0
68,3.3142072721983533,888.0,65.0,38.0,0.0
69,3.363858332418654,887.0,66.0,38.0,0.0
70,3.3733186768018264,886.0,67.0,38.0,0.0
71,3.384284785384993,886.0,66.0,39.0,0.0
72,3.3948567327677495,886.0,65.0,40.0,0.0
73,3.4259257436747577,885.0,66.0,40.0,0.0
74,3.4696382050428043,885.0,66.0,39.0,0.0
75,3.503290495538124,885.0,66.0,38.0,0.0
76,3.5213316492198863,884.0,67.0,38.0,0.0
77,3.5407966443065075,884.0,66.0,39.0,0.0
78,3.5420801558355333,884.0,65.0,40.0,0.0
79,3.5522531422980332,884.0,64.0,41.0,0.0
80,3.5873575139788914,883.0,65.0,41.0,0.0
81,3.6265137090245467,883.0,65.0,40.0,0.0
82,3.643251369558982,883.0,64.0,41.0,0.0
83,3.648853875918261,883.0,63.0,42.0,0.0
84,3.666657333206631,883.0,63.0,41.0,0.0
85,3.7018939556008226,883.0,62.0,42.0,0.0
86,3.76727665383578,882.0,63.0,42.0,0.0
87,3.7758215709015976,881.0,64.0,42.0,0.0
88,3.7793917667402472,880.0,65.0,42.0,0.0
89,3.8389236708394723,880.0,64.0,43.0,0.0
90,3.861145813412392,879.0,65.0,43.0,0.0
91,3.906185687408047,879.0,64.0,44.0,0.0
92,3.9077982930251656,878.0,65.0,44.0,0.0
93,3.9627352329407395,877.0,66.0,44.0,0.0
94,3.973244044890974,876.0,67.0,44.0,0.0
95,4.001938830473105,876.0,67.0,43.0,0.0
96,4.003213460265903,876.0,66.0,44.0,0.0
97,4.041173863734914,875.0,67.0,44.0,0.0
98,4.080542862549419,875.0,66.0,45.0,0.0
99,4.08748605746856,875.0,65.0,46.0,0.0
100,4.125627398167989,875.0,65.0,45.0,0.0
101,4.132090008132861,874.0,66.0,45.0,0.0
102,4.142301389959233,874.0,65.0,46.0,0.0
103,4.158886178338192,873.0,66.0,46.0,0.0
104,4.16723043421263,873.0,65.0,47.0,0.0
105,4.192459578672367,873.0,65.0,46.0,0.0
106,4.238859997975251,873.0,64.0,47.0,0.0
107,4.348568396095149,872.0,65.0,47.0,0.0
108,4.369240950157142,872.0,64.0,48.0,0.0
109,4.376896416220873,871.0,65.0,48.0,0.0
110,4.381638197412458,870.0,66.0,48.0,0.0
111,4.396465389142404,870.0,65.0,49.0,0.0
