Iter,Time,S,E,I,R
0,0.0,800.0,100.0,0.0,100.0
1,0.01427407633531391,800.0,99.0,1.0,100.0
2,0.01522689282547111,800.0,98.0,2.0,100.0
3,0.02673461550926365,800.0,98.0,1.0,100.0
4,0.08679533476474618,800.0,97.0,2.0,100.0
5,0.08765350227523003,800.0,96.0,3.0,100.0
6,0.1992043946901039,800.0,95.0,4.0,100.0
7,0.20247202134021527,800.0,94.0,5.0,100.0
8,0.31904022689544687,800.0,93.0,6.0,100.0
9,0.4210154047376419,800.0,92.0,7.0,100.0
10,0.4536735450726312,800.0,91.0,8.0,100.0
11,0.46282315042681255,800.0,90.0,9.0,100.0
12,0.4631403987330061,799.0,91.0,9.0,100.0
13,0.613640229331762,799.0,90.0,10.0,100.0
14,0.6821950677231303,799.0,89.0,11.0,100.0
15,0.7652059970992542,799.0,88.0,12.0,100.0
16,0.7868561425166125,799.0,87.0,13.0,100.0
17,0.8220228580547748,798.0,88.0,13.0,100.0
18,0.8237613531433458,798.0,87.0,14.0,100.0
19,1.0000410433219173,797.0,88.0,14.0,100.0
20,1.0051565618303826,796.0,89.0,14.0,100.0
21,1.0981572942706863,796.0,88.0,15.0,100.0
22,1.1605233108177928,796.0,87.0,16.0,100.0
23,1.2317428845323002,796.0,86.0,17.0,100.0
24,1.2408920647675843,796.0,85.0,18.0,100.0
25,1.3207373681401469,796.0,84.0,19.0,100.0
26,1.3610745221116352,795.0,85.0,19.0,100.0
27,1.36242237433489,795.0,84.0,20.0,100.0
28,1.4512082158482589,794.0,85.0,20.0,100.0
29,1.4537111236180962,794.0,84.0,21.0,100.0
30,1.5681135504717396,793.0,85.0,21.0,100.0
31,1.5798441446785139,793.0,84.0,22.0,100.0
32,1.6822991927831878,793.0,83.0,23.0,100.0
33,1.9476021451218517,792.0,84.0,23.0,100.0
34,1.9879112750961463,792.0,83.0,24.0,100.0
35,1.991433469616435,792.0,82.0,25.0,100.0
36,2.0359120691105534,791.0,83.0,25.0,100.0
37,2.0378261524507115,791.0,83.0,24.0,100.0
38,2.0754972510764023,791.0,82.0,25.0,100.0
39,2.1404185152535566,791.0,81.0,26.0,100.0
40,2.175806791044321,790.0,82.0,26.0,100.0
41,2.177335608827958,789.0,83.0,26.0,100.0
42,2.180868134022983,788.0,84.0,26.0,100.0
43,2.185727589337473,787.0,85.0,26.0,100.0
44,2.24620217744794,786.0,86.0,26.0,100.0
45,2.249523992921062,785.0,87.0,26.0,100.0
46,2.3100934597567027,785.0,86.0,27.0,100.0
47,2.3718440763647077,785.0,85.0,28.0,100.0
48,2.3722340703366163,784.0,86.0,28.0,100.0
49,2.3843132978097663,784.0,85.0,29.0,100.0
50,2.39465917839778,784.0,84.0,30.0,100.0
51,2.501272232628195,784.0,83.0,31.0,100.0
52,2.5307242915074064,783.0,84.0,31.0,100.0
53,2.596683550290429,782.0,85.0,31.0,100.0
54,2.613097664116279,782.0,84.0,32.0,100.0
55,2.6437977028716344,782.0,83.0,33.0,100.0
56,2.674575406105269,782.0,82.0,34.0,100.0
57,2.6773261815771945,782.0,82.0,33.0,100.0
58,2.688824099269886,781.0,83.0,33.0,100.0
59,2.699763815812516,780.0,84.0,33.0,100.0
60,2.7260264511287784,780.0,83.0,34.0,100.0
61,2.777318087255036,780.0,82.0,35.0,100.0
62,2.781161856447645,780.0,81.0,36.0,100.0
63,2.8062971853144787,780.0,81.0,35.0,100.0
64,2.8314706356703114,779.0,82.0,35.0,100.0
65,2.8629613596189216,779.0,81.0,36.0,100.0
66,2.942103111357822,779.0,80.0,37.0,100.0
67,2.9842026102334875,779.0,79.0,38.0,100.0
68,2.996835925009754,779.0,78.0,39.0,100.0
69,3.005655866353839,779.0,77.0,40.0,100.0
70,3.017844222788246,779.0,76.0,41.0,100.0
71,3.065596239663793,779.0,75.0,42.0,100.0
72,3.0903775499936508,778.0,76.0,42.0,100.0
73,3.1054168884850912,777.0,77.0,42.0,100.0
74,3.126080415106598,776.0,78.0,42.0,100.0
75,3.137643399548414,775.0,79.0,42.0,100.0
76,3.1385178405580305,775.0,78.0,43.0,100.0
77,3.2199536249934053,774.0,79.0,43.0,100.0
78,3.2460833472050545,774.0,78.0,44.0,100.0
79,3.289309351527879,774.0,77.0,45.0,100.0
80,3.3144753768308886,774.0,76.0,46.0,100.0
81,3.3405884971919835,774.0,75.0,47.0,100.0
82,3.351273346210221,773.0,76.0,47.0,100.0
83,3.385276222759179,772.0,77.0,47.0,100.0
84,3.3876483531431765,771.0,78.0,47.0,100.0
85,3.4056403846691357,771.0,78.0,46.0,100.0
86,3.408598961944672,771.0,77.0,47.0,100.0
87,3.412922092952638,771.0,77.0,46.0,100.0
88,3.4290282146395397,770.0,78.0,46.0,100.0
89,3.4638484918968215,769.0,79.0,46.0,100.0
90,3.473188556988669,769.0,78.0,47.0,100.0
91,3.5116909926717006,768.0,79.0,47.0,100.0
92,3.65534111293291,767.0,80.0,47.0,100.0
93,3.6925770752329754,767.0,80.0,46.0,100.0
94,3.717454801913887,766.0,81.0,46.0,100.0
95,3.8507402978841627,766.0,80.0,47.0,100.0
96,3.864899989109965,766.0,80.0,46.0,100.0
97,3.864961940624688,766.0,79.0,47.0,100.0
98,3.8722623763832673,765.0,80.0,47.0,100.0
99,3.8897917071874897,764.0,81.0,47.0,100.0
100,3.9140704815452607,764.0,80.0,48.0,100.0
101,3.9243742838398075,763.0,81.0,48.0,100.0
102,3.9683596257523397,763.0,80.0,49.0,100.0
103,3.972887850386336,762.0,81.0,49.0,100.0
104,3.9858903128481433,761.0,82.0,49.0,100.0
105,4.013869685103045,761.0,81.0,50.0,100.0
106,4.0324997261942235,761.0,81.0,49.0,100.0
107,4.0407815979615,761.0,80.0,50.0,100.0
108,4.095298063115948,761.0,79.0,51.0,100.0
109,4.16634829471135,760.0,80.0,51.0,100.0
110,4.173277237206339,760.0,79.0,52.0,100.0
111,4.1969087242187815,759.0,80.0,52.0,100.0
112,4.207439270596131,759.0,79.0,53.0,100.0
113,4.250353051239743,758.0,80.0,53.0,100.0
114,4.250818312606414,758.0,79.0,54.0,100.0
115,4.328224638945595,758.0,78.0,55.0,100.0
116,4.3434591404539065,758.0,77.0,56.0,100.0
117,4.40750445228606,757.0,78.0,56.0,100.0
118,4.484532592628972,757.0,77.0,57.0,100.0
119,4.48455051065375,756.0,78.0,57.0,100.0
120,4.512376488857091,756.0,77.0,58.0,100.0
121,4.525222671648448,755.0,78.0,58.0,100.0
