Iter,Time,S,E,I,R
0,0.0,900.0,100.0,0.0,0.0
1,0.12069742720545695,900.0,99.0,1.0,0.0
2,0.14040987362312307,900.0,98.0,2.0,0.0
3,0.15734136050114633,900.0,97.0,3.0,0.0
4,0.17110013441195882,900.0,96.0,4.0,0.0
5,0.2542275671042106,900.0,95.0,5.0,0.0
6,0.2653342557443884,899.0,96.0,5.0,0.0
7,0.28421894926571994,898.0,97.0,5.0,0.0
8,0.39812822660126257,898.0,96.0,6.0,0.0
9,0.4024260732142269,898.0,95.0,7.0,0.0
10,0.413562930622425,898.0,94.0,8.0,0.0
11,0.4220338262152605,898.0,94.0,7.0,0.0
12,0.5030031821643071,898.0,93.0,8.0,0.0
13,0.5351088207982839,898.0,92.0,9.0,0.0
14,0.5525867545593749,898.0,91.0,10.0,0.0
15,0.6283105211500378,898.0,90.0,11.0,0.0
16,0.6435125630585687,898.0,89.0,12.0,0.0
17,0.6531929818329297,898.0,88.0,13.0,0.0
18,0.6545792980277179,898.0,87.0,14.0,0.0
19,0.6683243826858531,898.0,86.0,15.0,0.0
20,0.6689740398206396,898.0,86.0,14.0,0.0
21,0.6746403841411687,898.0,85.0,15.0,0.0
22,0.7190639960198107,898.0,84.0,16.0,0.0
23,0.7279419170496596,897.0,85.0,16.0,0.0
24,0.7434699955213835,896.0,86.0,16.0,0.0
25,0.7799806242246772,895.0,87.0,16.0,0.0
26,0.7899129854103488,895.0,86.0,17.0,0.0
27,0.8064763409040089,894.0,87.0,17.0,0.0
28,0.8292336908889645,894.0,86.0,18.0,0.0
29,0.8646311856869254,894.0,85.0,19.0,0.0
30,0.9168836999401726,894.0,84.0,20.0,0.0
31,0.9489631163799217,894.0,83.0,21.0,0.0
32,0.9611606382952097,894.0,82.0,22.0,0.0
33,0.9759331139840439,894.0,81.0,23.0,0.0
34,0.9831896688075884,893.0,82.0,23.0,0.0
35,0.9901560303952819,893.0,81.0,24.0,0.0
36,1.0214769000835546,893.0,80.0,25.0,0.0
37,1.0775096519018326,893.0,79.0,26.0,0.0
38,1.0826151403518476,893.0,78.0,27.0,0.0
39,1.161419512763743,892.0,79.0,27.0,0.0
40,1.1777759778549968,892.0,78.0,28.0,0.0
41,1.1962971808065495,892.0,77.0,29.0,0.0
42,1.207183511588956,892.0,77.0,28.0,0.0
43,1.2418144633387078,891.0,78.0,28.0,0.0
44,1.272318797554039,890.0,79.0,28.0,0.0
45,1.3021751083998379,889.0,80.0,28.0,0.0
46,1.3230658728258748,889.0,79.0,29.0,0.0
47,1.3583367172369656,889.0,78.0,30.0,0.0
48,1.3593456675955449,889.0,77.0,31.0,0.0
49,1.434966920824362,889.0,76.0,32.0,0.0
50,1.4353975832706112,889.0,75.0,33.0,0.0
51,1.4605941662588566,889.0,74.0,34.0,0.0
52,1.5158001191741004,888.0,75.0,34.0,0.0
53,1.561419209396867,887.0,76.0,34.0,0.0
54,1.5780250499697042,887.0,76.0,33.0,0.0
55,1.5980672402150613,886.0,77.0,33.0,0.0
56,1.6169590647978331,885.0,78.0,33.0,0.0
57,1.6393173648148036,884.0,79.0,33.0,0.0
58,1.6393885038439742,884.0,79.0,32.0,0.0
59,1.6520776239802688,884.0,78.0,33.0,0.0
60,1.6804455315035531,884.0,77.0,34.0,0.0
61,1.7080807844441164,884.0,76.0,35.0,0.0
62,1.734217122682305,883.0,77.0,35.0,0.0
63,1.7492977692454885,883.0,76.0,36.0,0.0
64,1.8650598033821604,883.0,76.0,35.0,0.0
65,1.8944229308354024,882.0,77.0,35.0,0.0
66,2.0199696162128067,882.0,76.0,36.0,0.0
67,2.0208573540352437,882.0,76.0,35.0,0.0
68,2.0218671729625624,882.0,75.0,36.0,0.0
69,2.0228591139527747,882.0,74.0,37.0,0.0
70,2.0292044376152476,882.0,74.0,36.0,0.0
71,2.0743023161517513,882.0,73.0,37.0,0.0
72,2.1651698457039865,882.0,72.0,38.0,0.0
73,2.2679167760959884,881.0,73.0,38.0,0.0
74,2.2853044730736465,881.0,72.0,39.0,0.0
75,2.3190619232896705,881.0,72.0,38.0,0.0
76,2.358946357993885,881.0,72.0,37.0,0.0
77,2.47297838319311,880.0,73.0,37.0,0.0
78,2.4753724143566878,880.0,72.0,38.0,0.0
79,2.4825667730404084,879.0,73.0,38.0,0.0
80,2.5384192017619087,879.0,72.0,39.0,0.0
81,2.6053551672439705,879.0,71.0,40.0,0.0
82,2.6685025169078176,879.0,70.0,41.0,0.0
83,2.668975559535969,878.0,71.0,41.0,0.0
84,2.734088076442183,878.0,70.0,42.0,0.0
85,2.7363970650073344,878.0,69.0,43.0,0.0
86,2.7477737748595725,878.0,68.0,44.0,0.0
87,2.8133864100465154,877.0,69.0,44.0,0.0
88,2.8565502887696796,877.0,68.0,45.0,0.0
89,2.897140110333124,876.0,69.0,45.0,0.0
90,2.9005978479236387,876.0,68.0,46.0,0.0
91,2.918298391811718,876.0,67.0,47.0,0.0
92,2.95285601051153,876.0,67.0,46.0,0.0
93,3.034149519585625,876.0,66.0,47.0,0.0
94,3.0404346985414024,875.0,67.0,47.0,0.0
95,3.0410068892312547,875.0,66.0,48.0,0.0
96,3.0799445188240706,875.0,66.0,47.0,0.0
97,3.103543351552352,875.0,66.0,46.0,0.0
98,3.105828737385777,875.0,65.0,47.0,0.0
99,3.1188230304252134,874.0,66.0,47.0,0.0
100,3.159414221451047,873.0,67.0,47.0,0.0
101,3.1691659566533,873.0,67.0,46.0,0.0
102,3.2110324815093523,873.0,66.0,47.0,0.0
103,3.2285227400758463,873.0,65.0,48.0,0.0
104,3.233481143361049,872.0,66.0,48.0,0.0
105,3.2672815693127033,872.0,65.0,49.0,0.0
106,3.267416633366742,872.0,64.0,50.0,0.0
107,3.274931699532265,871.0,65.0,50.0,0.0
108,3.2944162353263327,871.0,64.0,51.0,0.0
109,3.306744801313832,871.0,63.0,52.0,0.0
110,3.326761976086623,870.0,64.0,52.0,0.0
111,3.372431546481369,870.0,63.0,53.0,0.0
112,3.4176171575900045,870.0,63.0,52.0,0.0
113,3.4609903802180444,870.0,63.0,51.0,0.0
114,3.4709027994209616,870.0,62.0,52.0,0.0
115,3.490896530941296,870.0,62.0,51.0,0.0
116,3.4925118256606242,870.0,62.0,50.0,0.0
117,3.55034945800677,870.0,61.0,51.0,0.0
118,3.5725657903656116,870.0,60.0,52.0,0.0
119,3.603633055914442,870.0,59.0,53.0,0.0
120,3.6078700341359027,870.0,59.0,52.0,0.0
121,3.625309017620158,870.0,58.0,53.0,0.0
122,3.647823935606495,869.0,59.0,53.0,0.0
123,3.6642552110672746,869.0,58.0,54.0,0.0
124,3.696680278536196,869.0,57.0,55.0,0.0
125,3.6977851540523314,869.0,57.0,54.0,0.0
126,3.7311391672035654,868.0,58.0,54.0,0.0
127,3.7375456283337685,867.0,59.0,54.0,0.0
128,3.7539689740538726,867.0,58.0,55.0,0.0
129,3.7585406768442406,867.0,58.0,54.0,0.0
130,3.788745932711184,867.0,58.0,53.0,0.0
131,3.8171977989832335,866.0,59.0,53.0,0.0
132,3.8770091882242825,865.0,60.0,53.0,0.0
133,3.895270024726442,864.0,61.0,53.0,0.0
134,4.003756912969315,864.0,60.0,54.0,0.0
135,4.022864754546544,863.0,61.0,54.0,0.0
136,4.089879228909941,863.0,60.0,55.0,0.0
137,4.110535667393987,863.0,59.0,56.0,0.0
138,4.114009771454264,862.0,60.0,56.0,0.0
139,4.131455530581414,862.0,59.0,57.0,0.0
140,4.187392718507898,862.0,58.0,58.0,0.0
141,4.232242764376398,861.0,59.0,58.0,0.0
142,4.241237217142739,860.0,60.0,58.0,0.0
143,4.312754079898117,859.0,61.0,58.0,0.0
144,4.352086811418843,859.0,61.0,57.0,0.0
145,4.387147559235001,858.0,62.0,57.0,0.0
146,4.429021042095314,858.0,62.0,56.0,0.0
147,4.45771940182502,858.0,62.0,55.0,0.0
148,4.470247951070886,857.0,63.0,55.0,0.0
149,4.480352129272666,857.0,62.0,56.0,0.0
150,4.512622769202242,857.0,61.0,57.0,0.0
151,4.5269615640042815,857.0,61.0,56.0,0.0
152,4.595970986642594,857.0,60.0,57.0,0.0
153,4.800447358715517,856.0,61.0,57.0,0.0
154,4.8014419516424525,856.0,60.0,58.0,0.0
155,4.914701484928938,856.0,60.0,57.0,0.0
156,4.915150387846651,855.0,61.0,57.0,0.0
157,4.964841015782618,854.0,62.0,57.0,0.0
158,5.04100146733197,853.0,63.0,57.0,0.0
159,5.109071854589004,853.0,63.0,56.0,0.0
160,5.159388095418638,853.0,62.0,57.0,0.0
161,5.181662464586072,853.0,62.0,56.0,0.0
162,5.1833640458690144,852.0,63.0,56.0,0.0
