Iter,Time,S,E,I,R
0,0.0,900.0,100.0,0.0,0.0
1,0.04377348919308494,900.0,99.0,1.0,0.0
2,0.06501866460918862,900.0,98.0,2.0,0.0
3,0.08185536218692861,900.0,97.0,3.0,0.0
4,0.1429969029477579,900.0,96.0,4.0,0.0
5,0.32359064079738276,900.0,95.0,5.0,0.0
6,0.3531465625060591,900.0,94.0,6.0,0.0
7,0.36187232496391025,900.0,93.0,7.0,0.0
8,0.36264708123620254,900.0,92.0,8.0,0.0
9,0.4285018719193717,900.0,91.0,9.0,0.0
10,0.451599648307732,900.0,90.0,10.0,0.0
11,0.45809872621415476,900.0,89.0,11.0,0.0
12,0.49377483144213485,900.0,88.0,12.0,0.0
13,0.5176895180157861,900.0,87.0,13.0,0.0
14,0.519694064615601,899.0,88.0,13.0,0.0
15,0.5709417439592915,899.0,87.0,14.0,0.0
16,0.5769954240225746,899.0,86.0,15.0,0.0
17,0.5867653740496899,899.0,85.0,16.0,0.0
18,0.630040638957018,899.0,85.0,15.0,0.0
19,0.6484029142987401,899.0,84.0,16.0,0.0
20,0.6732073265186886,898.0,85.0,16.0,0.0
21,0.7516026870064996,898.0,84.0,17.0,0.0
22,0.7560836855730811,898.0,83.0,18.0,0.0
23,0.8671230834364779,898.0,82.0,19.0,0.0
24,0.8901693454516011,898.0,81.0,20.0,0.0
25,0.9727156828335677,898.0,81.0,19.0,0.0
26,0.9783232489376567,898.0,80.0,20.0,0.0
27,1.0070039683209913,898.0,79.0,21.0,0.0
28,1.0109844467706435,898.0,78.0,22.0,0.0
29,1.0662244428147971,898.0,77.0,23.0,0.0
30,1.1447320175255113,898.0,77.0,22.0,0.0
31,1.145477062800828,897.0,78.0,22.0,0.0
32,1.1465739439489642,897.0,77.0,23.0,0.0
33,1.159420748112123,897.0,76.0,24.0,0.0
34,1.222688198728899,896.0,77.0,24.0,0.0
35,1.2678609001248364,896.0,76.0,25.0,0.0
36,1.2762691799887596,896.0,76.0,24.0,0.0
37,1.2850001991949735,896.0,76.0,23.0,0.0
38,1.2850628865555298,895.0,77.0,23.0,0.0
39,1.300994053832174,895.0,76.0,24.0,0.0
40,1.3798145229712433,895.0,75.0,25.0,0.0
41,1.3825217478362568,895.0,74.0,26.0,0.0
42,1.4030690843589821,895.0,73.0,27.0,0.0
43,1.406801534079376,895.0,72.0,28.0,0.0
44,1.4380692092818363,895.0,71.0,29.0,0.0
45,1.4812667019839583,894.0,72.0,29.0,0.0
46,1.572110425114577,894.0,71.0,30.0,0.0
47,1.5992534587805736,894.0,70.0,31.0,0.0
48,1.6043347133067207,894.0,69.0,32.0,0.0
49,1.6268181737617566,893.0,70.0,32.0,0.0
50,1.6557292723946453,893.0,69.0,33.0,0.0
51,1.7272236457732135,893.0,68.0,34.0,0.0
52,1.8645919443226107,892.0,69.0,34.0,0.0
53,1.8895554210614807,892.0,68.0,35.0,0.0
54,1.8956245604033364,892.0,68.0,34.0,0.0
55,1.902332928312237,892.0,67.0,35.0,0.0
56,1.9087824679961611,892.0,66.0,36.0,0.0
57,1.9273230328079465,892.0,65.0,37.0,0.0
58,1.9399982857363731,891.0,66.0,37.0,0.0
59,1.940769790416986,890.0,67.0,37.0,0.0
60,1.9436982442456139,889.0,68.0,37.0,0.0
61,1.974429691284262,889.0,68.0,36.0,0.0
62,1.9922283072309954,888.0,69.0,36.0,0.0
63,2.00403902961638,888.0,69.0,35.0,0.0
64,2.062089495461236,888.0,68.0,36.0,0.0
65,2.082270750122827,888.0,67.0,37.0,0.0
66,2.1077394402275305,887.0,68.0,37.0,0.0
67,2.110311435721094,887.0,67.0,38.0,0.0
68,2.1274919988493606,887.0,66.0,39.0,0.0
69,2.1293853182676026,887.0,65.0,40.0,0.0
70,2.141107047921527,886.0,66.0,40.0,0.0
71,2.146377880323547,886.0,65.0,41.0,0.0
72,2.1497800353458976,886.0,64.0,42.0,0.0
73,2.203746684018282,886.0,63.0,43.0,0.0
74,2.3598871895088953,885.0,64.0,43.0,0.0
75,2.3676483817419416,884.0,65.0,43.0,0.0
76,2.3885103781660044,884.0,64.0,44.0,0.0
77,2.3945656032961353,884.0,64.0,43.0,0.0
78,2.4112391578624224,884.0,63.0,44.0,0.0
79,2.4235499235237095,883.0,64.0,44.0,0.0
80,2.4486158017958566,883.0,63.0,45.0,0.0
81,2.524882850605408,882.0,64.0,45.0,0.0
82,2.5473797953953046,882.0,63.0,46.0,0.0
83,2.590639519364699,882.0,62.0,47.0,0.0
84,2.6275709441039683,881.0,63.0,47.0,0.0
85,2.6911104726075803,881.0,62.0,48.0,0.0
86,2.6920824735469826,880.0,63.0,48.0,0.0
87,2.7081814589837148,879.0,64.0,48.0,0.0
88,2.7408860627628373,879.0,63.0,49.0,0.0
89,2.7437958586055817,879.0,62.0,50.0,0.0
90,2.7573738942846013,879.0,61.0,51.0,0.0
91,2.777216136449624,878.0,62.0,51.0,0.0
92,2.801179314836485,878.0,62.0,50.0,0.0
93,2.801378999154668,877.0,63.0,50.0,0.0
94,2.81042991880039,877.0,62.0,51.0,0.0
95,2.811425494360868,877.0,61.0,52.0,0.0
96,2.820770686836218,876.0,62.0,52.0,0.0
97,2.823471199406757,876.0,61.0,53.0,0.0
98,2.8657502573573943,875.0,62.0,53.0,0.0
99,2.8997889084898913,875.0,62.0,52.0,0.0
100,2.9022724714209036,875.0,61.0,53.0,0.0
101,2.9355271511881815,875.0,60.0,54.0,0.0
102,2.956400943678663,874.0,61.0,54.0,0.0
103,2.9912927684138575,873.0,62.0,54.0,0.0
104,3.024153339256299,872.0,63.0,54.0,0.0
105,3.0336924246077124,872.0,62.0,55.0,0.0
106,3.041540450982272,871.0,63.0,55.0,0.0
107,3.0754618692461606,871.0,62.0,56.0,0.0
108,3.1080540747920997,871.0,62.0,55.0,0.0
109,3.150657429031257,870.0,63.0,55.0,0.0
110,3.1732261895497045,870.0,62.0,56.0,0.0
111,3.1759599485172205,870.0,62.0,55.0,0.0
112,3.178549939669622,869.0,63.0,55.0,0.0
113,3.2178403499131907,869.0,62.0,56.0,0.0
114,3.219258266934257,869.0,62.0,55.0,0.0
115,3.259809239479909,868.0,63.0,55.0,0.0
116,3.2603616579952974,867.0,64.0,55.0,0.0
117,3.2641495292628844,867.0,63.0,56.0,0.0
118,3.268899949726803,866.0,64.0,56.0,0.0
119,3.2870516981338573,865.0,65.0,56.0,0.0
120,3.2998437217571777,864.0,66.0,56.0,0.0
121,3.3134763162601906,863.0,67.0,56.0,0.0
122,3.329287451584087,863.0,67.0,55.0,0.0
123,3.347762455864486,862.0,68.0,55.0,0.0
124,3.3556658418245293,861.0,69.0,55.0,0.0
125,3.3563323619267433,860.0,70.0,55.0,0.0
