Iter,Time,S,E,I,R
0,0.0,800.0,100.0,0.0,100.0
1,0.022113345584144496,800.0,99.0,1.0,100.0
2,0.07339169905629589,800.0,98.0,2.0,100.0
3,0.13773656918925392,800.0,97.0,3.0,100.0
4,0.22798528807590376,800.0,96.0,4.0,100.0
5,0.358382130224586,800.0,95.0,5.0,100.0
6,0.3613127922659378,800.0,94.0,6.0,100.0
7,0.4094014711552524,800.0,93.0,7.0,100.0
8,0.4484275184579113,800.0,92.0,8.0,100.0
9,0.5116056850155075,800.0,91.0,9.0,100.0
10,0.6013705676596368,799.0,92.0,9.0,100.0
11,0.6531281523747704,799.0,91.0,10.0,100.0
12,0.7968781206412393,799.0,91.0,9.0,100.0
13,0.8116054134123784,799.0,90.0,10.0,100.0
14,0.8134464581739467,798.0,91.0,10.0,100.0
15,0.9285194113600574,798.0,90.0,11.0,100.0
16,1.0660977968320837,798.0,90.0,10.0,100.0
17,1.0688988441389635,797.0,91.0,10.0,100.0
18,1.119484589869865,797.0,90.0,11.0,100.0
19,1.1552787142608698,797.0,89.0,12.0,100.0
20,1.1675385103130258,796.0,90.0,12.0,100.0
21,1.240477237151625,796.0,89.0,13.0,100.0
22,1.2484408016753141,796.0,88.0,14.0,100.0
23,1.3188292869299738,796.0,87.0,15.0,100.0
24,1.3666229254790399,795.0,88.0,15.0,100.0
25,1.4097588611725222,795.0,87.0,16.0,100.0
26,1.4653443400094421,795.0,86.0,17.0,100.0
27,1.5260584554589471,795.0,85.0,18.0,100.0
28,1.559154126231654,795.0,84.0,19.0,100.0
29,1.5866195694075529,795.0,83.0,20.0,100.0
30,1.594370481656243,794.0,84.0,20.0,100.0
31,1.682252285003791,794.0,84.0,19.0,100.0
32,1.6981596550813873,794.0,83.0,20.0,100.0
33,1.726396944275952,794.0,82.0,21.0,100.0
34,1.7653833656721667,794.0,82.0,20.0,100.0
35,1.7722484454005032,793.0,83.0,20.0,100.0
36,1.7779998579159184,793.0,82.0,21.0,100.0
37,1.7849944776689695,792.0,83.0,21.0,100.0
38,1.8640270000033685,792.0,82.0,22.0,100.0
39,1.930756644735413,792.0,81.0,23.0,100.0
40,2.0251712976875313,792.0,80.0,24.0,100.0
41,2.0532502042300593,791.0,81.0,24.0,100.0
42,2.178791923763967,791.0,80.0,25.0,100.0
43,2.22732775003868,791.0,79.0,26.0,100.0
44,2.319460209964256,791.0,78.0,27.0,100.0
45,2.325970413696283,790.0,79.0,27.0,100.0
46,2.3302124837982547,790.0,78.0,28.0,100.0
47,2.3674243533829005,790.0,77.0,29.0,100.0
48,2.3678064935261016,790.0,77.0,28.0,100.0
49,2.3967939181728166,790.0,76.0,29.0,100.0
50,2.4052220753017215,790.0,75.0,30.0,100.0
51,2.4811607698366114,789.0,76.0,30.0,100.0
52,2.503850241462757,789.0,76.0,29.0,100.0
53,2.5584350082898824,788.0,77.0,29.0,100.0
54,2.590067636910223,788.0,76.0,30.0,100.0
55,2.623766757984874,788.0,75.0,31.0,100.0
56,2.6514404193464105,788.0,74.0,32.0,100.0
57,2.6697630872267495,788.0,73.0,33.0,100.0
58,2.737555148836179,788.0,72.0,34.0,100.0
59,2.863181052116775,788.0,72.0,33.0,100.0
60,2.9214727565984493,788.0,71.0,34.0,100.0
61,2.952767801724956,787.0,72.0,34.0,100.0
62,3.0389497611162803,787.0,71.0,35.0,100.0
63,3.044074829497268,787.0,70.0,36.0,100.0
64,3.054165442221361,787.0,69.0,37.0,100.0
65,3.056980201044232,787.0,68.0,38.0,100.0
66,3.1280453621861843,787.0,67.0,39.0,100.0
67,3.1316451170074884,786.0,68.0,39.0,100.0
68,3.176867632155372,786.0,68.0,38.0,100.0
69,3.1982708993378703,786.0,67.0,39.0,100.0
70,3.2155165901148317,785.0,68.0,39.0,100.0
71,3.2310726197954853,784.0,69.0,39.0,100.0
72,3.2601143157793078,783.0,70.0,39.0,100.0
73,3.2953793684098187,782.0,71.0,39.0,100.0
74,3.311153223195596,782.0,70.0,40.0,100.0
75,3.331647409989515,782.0,69.0,41.0,100.0
76,3.360528259349143,781.0,70.0,41.0,100.0
77,3.3685363454869055,781.0,69.0,42.0,100.0
78,3.390511938119354,780.0,70.0,42.0,100.0
79,3.3951735961214142,779.0,71.0,42.0,100.0
80,3.3986942371862945,778.0,72.0,42.0,100.0
81,3.411732441552954,778.0,71.0,43.0,100.0
82,3.420835600388398,778.0,70.0,44.0,100.0
83,3.4728424413082317,778.0,70.0,43.0,100.0
84,3.48942320258317,778.0,69.0,44.0,100.0
85,3.522260365951535,778.0,68.0,45.0,100.0
86,3.6165443241832893,778.0,67.0,46.0,100.0
87,3.6473661851788566,778.0,67.0,45.0,100.0
88,3.790513012601352,778.0,67.0,44.0,100.0
89,3.8420606617877855,777.0,68.0,44.0,100.0
90,4.040126154279426,776.0,69.0,44.0,100.0
91,4.044574800304725,776.0,68.0,45.0,100.0
92,4.058087707424659,776.0,67.0,46.0,100.0
93,4.096041153991801,776.0,66.0,47.0,100.0
94,4.11050409852609,776.0,65.0,48.0,100.0
95,4.1327007765075505,776.0,64.0,49.0,100.0
96,4.147786110789885,776.0,64.0,48.0,100.0
97,4.1732156632441635,776.0,63.0,49.0,100.0
98,4.2073187683226525,776.0,62.0,50.0,100.0
99,4.213512472333566,775.0,63.0,50.0,100.0
100,4.243926165764915,775.0,63.0,49.0,100.0
101,4.323441385415755,775.0,62.0,50.0,100.0
102,4.378802872120702,775.0,62.0,49.0,100.0
103,4.450313797356399,775.0,61.0,50.0,100.0
104,4.455991273728894,775.0,61.0,49.0,100.0
105,4.499147950812701,774.0,62.0,49.0,100.0
106,4.501946443792072,773.0,63.0,49.0,100.0
107,4.558309905187561,773.0,62.0,50.0,100.0
108,4.634026585378427,772.0,63.0,50.0,100.0
109,4.680688637732788,772.0,63.0,49.0,100.0
110,4.724458387707702,771.0,64.0,49.0,100.0
111,4.740940808446566,770.0,65.0,49.0,100.0
112,4.780123206080809,770.0,64.0,50.0,100.0
113,4.786572200317198,769.0,65.0,50.0,100.0
114,4.796091110358367,768.0,66.0,50.0,100.0
115,4.867254133414195,768.0,66.0,49.0,100.0
116,4.870528288193649,767.0,67.0,49.0,100.0
117,4.918247845764252,766.0,68.0,49.0,100.0
118,5.028995088533878,766.0,67.0,50.0,100.0
119,5.0299945361741365,765.0,68.0,50.0,100.0
120,5.033451405392429,764.0,69.0,50.0,100.0
121,5.063271561097221,764.0,68.0,51.0,100.0
122,5.122536783631042,764.0,67.0,52.0,100.0
123,5.212763441816542,763.0,68.0,52.0,100.0
124,5.236681488017391,763.0,68.0,51.0,100.0
125,5.25717302344562,762.0,69.0,51.0,100.0
126,5.318477737448631,761.0,70.0,51.0,100.0
127,5.348913949877237,761.0,70.0,50.0,100.0
128,5.3565810196567565,760.0,71.0,50.0,100.0
129,5.367837239653981,760.0,70.0,51.0,100.0
130,5.381987264625997,759.0,71.0,51.0,100.0
131,5.393698003648353,758.0,72.0,51.0,100.0
132,5.404795614237674,758.0,71.0,52.0,100.0
133,5.4108622736895535,758.0,70.0,53.0,100.0
134,5.44009684163332,757.0,71.0,53.0,100.0
135,5.480914355831138,757.0,70.0,54.0,100.0
136,5.554183764593271,757.0,70.0,53.0,100.0
137,5.567850949459374,756.0,71.0,53.0,100.0
138,5.619808933801003,756.0,71.0,52.0,100.0
139,5.629903333570078,756.0,71.0,51.0,100.0
140,5.648618584501591,755.0,72.0,51.0,100.0
141,5.650022303197258,754.0,73.0,51.0,100.0
142,5.698524802487103,753.0,74.0,51.0,100.0
143,5.773980741195387,753.0,74.0,50.0,100.0
144,5.782862940542544,752.0,75.0,50.0,100.0
145,5.788078707826532,752.0,74.0,51.0,100.0
146,5.800901048866642,751.0,75.0,51.0,100.0
147,5.826139895075451,751.0,74.0,52.0,100.0
148,5.827133049733781,751.0,74.0,51.0,100.0
149,5.84653584630867,751.0,73.0,52.0,100.0
150,5.856196949113423,750.0,74.0,52.0,100.0
151,5.859745657171874,750.0,74.0,51.0,100.0
152,5.927667628930109,750.0,74.0,50.0,100.0
153,5.957317205981598,750.0,74.0,49.0,100.0
154,5.976529584191947,749.0,75.0,49.0,100.0
155,6.0393638948133805,749.0,74.0,50.0,100.0
156,6.101531236231379,749.0,73.0,51.0,100.0
157,6.186734108410716,749.0,73.0,50.0,100.0
158,6.218969215114532,749.0,72.0,51.0,100.0
159,6.2600151262565324,749.0,71.0,52.0,100.0
160,6.270736134843981,749.0,71.0,51.0,100.0
161,6.280003547135161,748.0,72.0,51.0,100.0
162,6.290748681603635,748.0,72.0,50.0,100.0
163,6.320462111577414,748.0,71.0,51.0,100.0
164,6.344191199394031,748.0,71.0,50.0,100.0
165,6.379857007939874,748.0,70.0,51.0,100.0
166,6.445565437206359,748.0,70.0,50.0,100.0
167,6.474903789384348,748.0,70.0,49.0,100.0
168,6.475479638648417,747.0,71.0,49.0,100.0
169,6.488079631752399,747.0,71.0,48.0,100.0
170,6.522206588768564,747.0,71.0,47.0,100.0
171,6.611374037126581,747.0,70.0,48.0,100.0
172,6.659203210974741,747.0,69.0,49.0,100.0
173,6.673460670637173,746.0,70.0,49.0,100.0
174,6.726542664471566,746.0,69.0,50.0,100.0
175,6.790680519900747,746.0,68.0,51.0,100.0
176,6.887873467970317,746.0,67.0,52.0,100.0
177,6.899435398557558,746.0,66.0,53.0,100.0
178,6.913215153657158,746.0,65.0,54.0,100.0
179,6.928646041122723,746.0,64.0,55.0,100.0
180,6.9294130431884735,746.0,63.0,56.0,100.0
181,6.941069163989448,745.0,64.0,56.0,100.0
182,6.94596298434126,744.0,65.0,56.0,100.0
183,6.982579210197035,744.0,64.0,57.0,100.0
184,7.040804603396092,743.0,65.0,57.0,100.0
185,7.070415135992614,743.0,64.0,58.0,100.0
186,7.1232825764152,743.0,63.0,59.0,100.0
187,7.170987341258272,743.0,63.0,58.0,100.0
188,7.186442300325188,743.0,62.0,59.0,100.0
189,7.194647255728591,743.0,61.0,60.0,100.0
190,7.271262915023865,743.0,60.0,61.0,100.0
191,7.280887192600482,743.0,59.0,62.0,100.0
192,7.296683930393866,743.0,59.0,61.0,100.0
193,7.320635623574829,743.0,58.0,62.0,100.0
194,7.324205484431318,743.0,57.0,63.0,100.0
195,7.3380071645289835,743.0,57.0,62.0,100.0
196,7.338885810477095,743.0,57.0,61.0,100.0
197,7.397180379072977,743.0,57.0,60.0,100.0
198,7.421758750233929,743.0,57.0,59.0,100.0
199,7.439341214254361,743.0,57.0,58.0,100.0
200,7.544004886824788,743.0,57.0,57.0,100.0
