Iter,Time,S,E,I,R
0,0.0,900.0,100.0,0.0,0.0
1,0.08616205064805631,900.0,99.0,1.0,0.0
2,0.1264514343114359,900.0,98.0,2.0,0.0
3,0.20090527703402133,900.0,97.0,3.0,0.0
4,0.2118888591336789,900.0,96.0,4.0,0.0
5,0.21707379422280917,900.0,95.0,5.0,0.0
6,0.22223560889538843,900.0,94.0,6.0,0.0
7,0.24237137921157978,900.0,93.0,7.0,0.0
8,0.27848671461107466,900.0,92.0,8.0,0.0
9,0.3621538910250981,900.0,91.0,9.0,0.0
10,0.3622836944831822,900.0,90.0,10.0,0.0
11,0.43045857703708607,900.0,89.0,11.0,0.0
12,0.4502934463789525,899.0,90.0,11.0,0.0
13,0.48724642909366794,899.0,89.0,12.0,0.0
14,0.5973442297203609,898.0,90.0,12.0,0.0
15,0.599266358126775,898.0,89.0,13.0,0.0
16,0.6527311006213917,898.0,88.0,14.0,0.0
17,0.6642655446773759,898.0,87.0,15.0,0.0
18,0.7638148187928536,898.0,86.0,16.0,0.0
19,0.8403282489770728,897.0,87.0,16.0,0.0
20,0.9035684196419254,897.0,87.0,15.0,0.0
21,0.9713524212476766,896.0,88.0,15.0,0.0
22,0.9726998325000303,896.0,87.0,16.0,0.0
23,0.9853542765421397,895.0,88.0,16.0,0.0
24,1.02098920021591,895.0,87.0,17.0,0.0
25,1.0337854690732955,895.0,86.0,18.0,0.0
26,1.1659913385466287,895.0,85.0,19.0,0.0
27,1.167085656246427,895.0,85.0,18.0,0.0
28,1.2899467093115626,895.0,84.0,19.0,0.0
29,1.3803597937557488,895.0,84.0,18.0,0.0
30,1.4924232818549974,894.0,85.0,18.0,0.0
31,1.5081795808074014,894.0,84.0,19.0,0.0
32,1.5249969464129436,894.0,83.0,20.0,0.0
33,1.5416526200664786,893.0,84.0,20.0,0.0
34,1.5820802877727969,893.0,83.0,21.0,0.0
35,1.5938041584272866,893.0,82.0,22.0,0.0
36,1.6226140724035407,893.0,82.0,21.0,0.0
37,1.7204173860860166,892.0,83.0,21.0,0.0
38,1.7919274835252283,892.0,82.0,22.0,0.0
39,1.8020017183615915,891.0,83.0,22.0,0.0
40,1.816566961554355,890.0,84.0,22.0,0.0
41,1.8599428769372888,890.0,83.0,23.0,0.0
42,1.9996810851729643,890.0,82.0,24.0,0.0
43,2.013635625146958,889.0,83.0,24.0,0.0
44,2.04651154273265,889.0,82.0,25.0,0.0
45,2.0535661379546517,889.0,81.0,26.0,0.0
46,2.069038625524502,888.0,82.0,26.0,0.0
47,2.075389177346229,887.0,83.0,26.0,0.0
48,2.0884451845148067,887.0,82.0,27.0,0.0
49,2.091565878888849,887.0,82.0,26.0,0.0
50,2.1166107504556435,887.0,81.0,27.0,0.0
51,2.1395690831518768,886.0,82.0,27.0,0.0
52,2.1431253530792485,886.0,81.0,28.0,0.0
53,2.143925294999945,886.0,80.0,29.0,0.0
54,2.1470245808384165,885.0,81.0,29.0,0.0
55,2.2376363545525644,884.0,82.0,29.0,0.0
56,2.245095833054888,883.0,83.0,29.0,0.0
57,2.2734922504932533,883.0,83.0,28.0,0.0
58,2.27943696815953,882.0,84.0,28.0,0.0
59,2.298788197315834,882.0,83.0,29.0,0.0
60,2.33046303207795,882.0,83.0,28.0,0.0
61,2.3662266914804366,881.0,84.0,28.0,0.0
62,2.3705371108020437,881.0,84.0,27.0,0.0
63,2.380296395684314,881.0,83.0,28.0,0.0
64,2.3889059810733464,880.0,84.0,28.0,0.0
65,2.460853965059943,879.0,85.0,28.0,0.0
66,2.5044945077496337,879.0,84.0,29.0,0.0
67,2.5257146050870944,879.0,83.0,30.0,0.0
68,2.528650118287712,879.0,82.0,31.0,0.0
69,2.592220820691656,879.0,81.0,32.0,0.0
70,2.613046093643716,879.0,80.0,33.0,0.0
71,2.6169653415198684,878.0,81.0,33.0,0.0
72,2.634847922654502,878.0,80.0,34.0,0.0
73,2.6524251256845797,878.0,80.0,33.0,0.0
74,2.6601057894704705,878.0,79.0,34.0,0.0
75,2.662479712445789,878.0,78.0,35.0,0.0
76,2.7547240886574467,878.0,77.0,36.0,0.0
77,2.8719861732784877,878.0,76.0,37.0,0.0
78,2.966138465251966,878.0,76.0,36.0,0.0
79,3.0018415648161696,877.0,77.0,36.0,0.0
80,3.025528834518459,876.0,78.0,36.0,0.0
81,3.0339455773365693,876.0,78.0,35.0,0.0
82,3.098509033221538,876.0,77.0,36.0,0.0
83,3.143719287013802,876.0,76.0,37.0,0.0
84,3.144744696643667,876.0,75.0,38.0,0.0
85,3.2158545264038927,876.0,74.0,39.0,0.0
86,3.2200793164722556,876.0,73.0,40.0,0.0
87,3.225530246295537,876.0,73.0,39.0,0.0
88,3.240481034595167,876.0,73.0,38.0,0.0
89,3.242000615796075,875.0,74.0,38.0,0.0
90,3.268726849966223,875.0,73.0,39.0,0.0
91,3.306491130160533,874.0,74.0,39.0,0.0
92,3.3137612332006996,874.0,74.0,38.0,0.0
93,3.382202034172929,873.0,75.0,38.0,0.0
94,3.3862545545074676,872.0,76.0,38.0,0.0
95,3.4052607536577986,871.0,77.0,38.0,0.0
96,3.440094114395052,870.0,78.0,38.0,0.0
97,3.4708632220809976,869.0,79.0,38.0,0.0
98,3.471906334520682,869.0,78.0,39.0,0.0
99,3.496753343675711,868.0,79.0,39.0,0.0
100,3.523608940428443,868.0,79.0,38.0,0.0
101,3.537645745637662,867.0,80.0,38.0,0.0
102,3.5610341286898275,867.0,79.0,39.0,0.0
103,3.572052599275626,867.0,78.0,40.0,0.0
104,3.5970405158755074,867.0,77.0,41.0,0.0
105,3.6152653774720562,867.0,77.0,40.0,0.0
106,3.6490225949155004,866.0,78.0,40.0,0.0
107,3.7089932236793133,866.0,77.0,41.0,0.0
108,3.711784062590881,866.0,76.0,42.0,0.0
