Iter,Time,S,E,I,R
0,0.0,900.0,100.0,0.0,0.0
1,0.024695110878156516,900.0,99.0,1.0,0.0
2,0.045488859394598506,900.0,98.0,2.0,0.0
3,0.15008544217490535,900.0,97.0,3.0,0.0
4,0.1794160036027644,900.0,96.0,4.0,0.0
5,0.22055727355531318,900.0,95.0,5.0,0.0
6,0.23952000126464806,900.0,94.0,6.0,0.0
7,0.38312230699554084,900.0,93.0,7.0,0.0
8,0.43580016513079994,900.0,92.0,8.0,0.0
9,0.49536580021318843,900.0,91.0,9.0,0.0
10,0.5321105182248651,900.0,90.0,10.0,0.0
11,0.7720075168517249,900.0,89.0,11.0,0.0
12,0.8530195452029967,900.0,88.0,12.0,0.0
13,0.91427788475261,900.0,88.0,11.0,0.0
14,0.9458008862114149,900.0,87.0,12.0,0.0
15,0.9707702611282175,900.0,86.0,13.0,0.0
16,0.9807936314859329,900.0,85.0,14.0,0.0
17,1.075842142151865,900.0,84.0,15.0,0.0
18,1.1357867620897562,899.0,85.0,15.0,0.0
19,1.1505720765036052,898.0,86.0,15.0,0.0
20,1.1834296979086678,897.0,87.0,15.0,0.0
21,1.236232431226635,896.0,88.0,15.0,0.0
22,1.3200662683433162,896.0,87.0,16.0,0.0
23,1.3561508688163353,896.0,86.0,17.0,0.0
24,1.3578811533209474,896.0,85.0,18.0,0.0
25,1.3644923444152641,896.0,84.0,19.0,0.0
26,1.3714166355969903,896.0,83.0,20.0,0.0
27,1.398238599394866,895.0,84.0,20.0,0.0
28,1.40656757051566,894.0,85.0,20.0,0.0
29,1.418781370284757,893.0,86.0,20.0,0.0
30,1.5729410574487468,893.0,85.0,21.0,0.0
31,1.578345607939582,893.0,84.0,22.0,0.0
32,1.5888845685809903,893.0,84.0,21.0,0.0
33,1.5958205250453383,893.0,83.0,22.0,0.0
34,1.6254465381102028,892.0,84.0,22.0,0.0
35,1.7262761245610716,892.0,83.0,23.0,0.0
36,1.7693943380506119,892.0,83.0,22.0,0.0
37,1.8784359400480217,892.0,82.0,23.0,0.0
38,1.9190334014129535,892.0,81.0,24.0,0.0
39,1.9194842827933212,892.0,80.0,25.0,0.0
40,1.9451946188159557,892.0,79.0,26.0,0.0
41,1.9801242181737075,891.0,80.0,26.0,0.0
42,1.9853081096551348,890.0,81.0,26.0,0.0
43,1.9856110476946076,890.0,80.0,27.0,0.0
