Iter,Time,S,E,I,R
0,0.0,900.0,100.0,0.0,0.0
1,0.05355495442381262,900.0,99.0,1.0,0.0
2,0.06979699115047824,900.0,98.0,2.0,0.0
3,0.08306011906565193,900.0,97.0,3.0,0.0
4,0.11719616543203586,900.0,96.0,4.0,0.0
5,0.27170049395558815,900.0,95.0,5.0,0.0
6,0.29349398437377394,900.0,94.0,6.0,0.0
7,0.32062445002583134,899.0,95.0,6.0,0.0
8,0.35349326976791057,899.0,94.0,7.0,0.0
9,0.39194227840432766,898.0,95.0,7.0,0.0
10,0.41289187207050765,898.0,94.0,8.0,0.0
11,0.43361899909773627,898.0,93.0,9.0,0.0
12,0.43591699734055067,897.0,94.0,9.0,0.0
13,0.464151071447595,897.0,93.0,10.0,0.0
14,0.49242118297430604,897.0,92.0,11.0,0.0
15,0.4924737429713256,896.0,93.0,11.0,0.0
16,0.5022891373594415,896.0,92.0,12.0,0.0
17,0.6373634666248282,895.0,93.0,12.0,0.0
18,0.6456636129547421,894.0,94.0,12.0,0.0
19,0.6579717278877569,894.0,93.0,13.0,0.0
20,0.691940134627149,894.0,92.0,14.0,0.0
21,0.7899722193166268,894.0,91.0,15.0,0.0
22,0.878212009633193,894.0,90.0,16.0,0.0
23,0.911807584733777,894.0,89.0,17.0,0.0
24,0.9681504759886337,893.0,90.0,17.0,0.0
25,1.0295296272449475,892.0,91.0,17.0,0.0
26,1.0335070614342199,892.0,90.0,18.0,0.0
27,1.1020871051647956,892.0,89.0,19.0,0.0
28,1.1556569736302602,892.0,88.0,20.0,0.0
29,1.2344909764867356,892.0,87.0,21.0,0.0
30,1.2383316210250437,892.0,86.0,22.0,0.0
31,1.2506297249182508,892.0,85.0,23.0,0.0
32,1.3930541919569994,892.0,84.0,24.0,0.0
33,1.3959570733974622,891.0,85.0,24.0,0.0
34,1.4397496971059616,890.0,86.0,24.0,0.0
35,1.4863048402080097,890.0,86.0,23.0,0.0
36,1.5057314291234765,890.0,85.0,24.0,0.0
37,1.5157353748003437,889.0,86.0,24.0,0.0
38,1.5220797991451314,889.0,85.0,25.0,0.0
39,1.5518112010606833,888.0,86.0,25.0,0.0
40,1.5764068098717123,888.0,85.0,26.0,0.0
41,1.6063355124602978,888.0,84.0,27.0,0.0
42,1.629933870621252,887.0,85.0,27.0,0.0
43,1.686183773241231,887.0,84.0,28.0,0.0
44,1.7432118605730782,886.0,85.0,28.0,0.0
45,1.8417118779948407,886.0,84.0,29.0,0.0
46,1.966683631141814,886.0,83.0,30.0,0.0
47,1.9752421161291767,886.0,82.0,31.0,0.0
48,1.9907573685107085,886.0,81.0,32.0,0.0
49,2.013229357567587,885.0,82.0,32.0,0.0
50,2.016554240318328,884.0,83.0,32.0,0.0
51,2.053509597066516,883.0,84.0,32.0,0.0
52,2.067964285765626,882.0,85.0,32.0,0.0
53,2.084270450853873,881.0,86.0,32.0,0.0
54,2.0999223004814924,881.0,85.0,33.0,0.0
55,2.104083666286518,881.0,84.0,34.0,0.0
56,2.1082423201646407,881.0,83.0,35.0,0.0
57,2.1307840703116847,881.0,82.0,36.0,0.0
58,2.1450911476540186,881.0,82.0,35.0,0.0
59,2.160597075347164,880.0,83.0,35.0,0.0
60,2.171616951270287,880.0,82.0,36.0,0.0
61,2.197971520731193,880.0,81.0,37.0,0.0
62,2.2161495598177767,880.0,80.0,38.0,0.0
63,2.2947420756993284,880.0,79.0,39.0,0.0
64,2.3212038570416422,880.0,78.0,40.0,0.0
65,2.373564871483691,879.0,79.0,40.0,0.0
66,2.3850307559558126,878.0,80.0,40.0,0.0
67,2.396302531971008,878.0,79.0,41.0,0.0
68,2.409569571428932,878.0,78.0,42.0,0.0
69,2.418183831040245,877.0,79.0,42.0,0.0
70,2.4713081327029305,876.0,80.0,42.0,0.0
71,2.4992087097483258,875.0,81.0,42.0,0.0
72,2.503879282230054,875.0,80.0,43.0,0.0
73,2.5115145095303495,874.0,81.0,43.0,0.0
74,2.5205454974990893,873.0,82.0,43.0,0.0
75,2.5316150174042895,873.0,82.0,42.0,0.0
76,2.5404173745509016,873.0,81.0,43.0,0.0
77,2.55421861884123,873.0,80.0,44.0,0.0
78,2.589042155182908,873.0,80.0,43.0,0.0
79,2.633391760941404,873.0,79.0,44.0,0.0
80,2.6427351080298767,873.0,78.0,45.0,0.0
81,2.646841064560803,872.0,79.0,45.0,0.0
82,2.70883820535256,872.0,79.0,44.0,0.0
83,2.7620954497090775,871.0,80.0,44.0,0.0
84,2.7927729371453034,871.0,79.0,45.0,0.0
85,2.8175029528108375,871.0,78.0,46.0,0.0
86,2.835035986527896,871.0,77.0,47.0,0.0
87,2.8528832010620153,870.0,78.0,47.0,0.0
88,2.9004325012517014,869.0,79.0,47.0,0.0
89,2.922947887353052,869.0,78.0,48.0,0.0
90,2.926210844036384,869.0,77.0,49.0,0.0
91,2.9377347442241426,869.0,76.0,50.0,0.0
92,2.950416557730224,868.0,77.0,50.0,0.0
93,2.963528161848749,868.0,76.0,51.0,0.0
94,2.965170833878367,868.0,76.0,50.0,0.0
95,2.9885418552073317,868.0,76.0,49.0,0.0
96,3.0179518466683586,868.0,76.0,48.0,0.0
97,3.0577132984924433,867.0,77.0,48.0,0.0
98,3.077391757914508,866.0,78.0,48.0,0.0
99,3.1848134909326915,866.0,77.0,49.0,0.0
100,3.2035350151187862,866.0,76.0,50.0,0.0
101,3.2554818145069957,865.0,77.0,50.0,0.0
102,3.2572388014971385,865.0,76.0,51.0,0.0
103,3.2733571896292464,865.0,76.0,50.0,0.0
104,3.3257391101412233,865.0,75.0,51.0,0.0
105,3.338595627221471,864.0,76.0,51.0,0.0
106,3.349284839613532,863.0,77.0,51.0,0.0
107,3.3544349474502435,862.0,78.0,51.0,0.0
108,3.4332673446876285,862.0,77.0,52.0,0.0
109,3.4896245812305122,861.0,78.0,52.0,0.0
110,3.490042511480019,861.0,77.0,53.0,0.0
111,3.4904222400168563,861.0,76.0,54.0,0.0
112,3.5629173230371918,860.0,77.0,54.0,0.0
113,3.569100439266564,859.0,78.0,54.0,0.0
114,3.57726705754256,858.0,79.0,54.0,0.0
115,3.601528046307428,858.0,78.0,55.0,0.0
116,3.616973464329839,857.0,79.0,55.0,0.0
117,3.6414907657801985,857.0,79.0,54.0,0.0
118,3.6566077884886248,857.0,78.0,55.0,0.0
119,3.665979170043008,856.0,79.0,55.0,0.0
120,3.6778928219899547,855.0,80.0,55.0,0.0
121,3.6796195799061793,855.0,79.0,56.0,0.0
122,3.693121973641526,855.0,78.0,57.0,0.0
123,3.696454601458456,855.0,78.0,56.0,0.0
124,3.7068162292146414,854.0,79.0,56.0,0.0
125,3.737298040909092,854.0,78.0,57.0,0.0
126,3.747029222982319,853.0,79.0,57.0,0.0
127,3.8359358580242287,853.0,78.0,58.0,0.0
128,3.8431381008046803,852.0,79.0,58.0,0.0
129,3.861538680227443,852.0,78.0,59.0,0.0
130,3.8820338716811515,852.0,77.0,60.0,0.0
131,3.890088012985533,851.0,78.0,60.0,0.0
132,3.890718118419528,851.0,77.0,61.0,0.0
133,3.9038113855228618,851.0,76.0,62.0,0.0
134,3.9041167683453994,850.0,77.0,62.0,0.0
135,4.041424102235927,849.0,78.0,62.0,0.0
136,4.042574505561431,849.0,78.0,61.0,0.0
137,4.05608462530859,848.0,79.0,61.0,0.0
138,4.10640018818411,847.0,80.0,61.0,0.0
139,4.12122635857241,846.0,81.0,61.0,0.0
140,4.144075124375209,845.0,82.0,61.0,0.0
141,4.165939133770545,844.0,83.0,61.0,0.0
142,4.176689259045967,844.0,82.0,62.0,0.0
143,4.186132169301765,844.0,81.0,63.0,0.0
144,4.215720273665382,844.0,80.0,64.0,0.0
145,4.216058455691587,843.0,81.0,64.0,0.0
146,4.218429785970914,843.0,80.0,65.0,0.0
147,4.246440721949825,843.0,80.0,64.0,0.0
148,4.248073840147034,843.0,80.0,63.0,0.0
149,4.277292508746421,843.0,79.0,64.0,0.0
150,4.29189303195426,843.0,78.0,65.0,0.0
151,4.300804826381435,843.0,77.0,66.0,0.0
152,4.300995913504641,843.0,77.0,65.0,0.0
153,4.321102652878016,843.0,77.0,64.0,0.0
154,4.400218194033369,843.0,76.0,65.0,0.0
155,4.409581147850039,842.0,77.0,65.0,0.0
156,4.412464813076659,842.0,76.0,66.0,0.0
157,4.426585156256346,841.0,77.0,66.0,0.0
158,4.4406250752330525,841.0,77.0,65.0,0.0
159,4.443724796572139,841.0,77.0,64.0,0.0
160,4.4653129856393186,840.0,78.0,64.0,0.0
161,4.469938354320945,840.0,77.0,65.0,0.0
162,4.482095375640113,839.0,78.0,65.0,0.0
163,4.48654918642288,839.0,77.0,66.0,0.0
164,4.509965588781996,839.0,76.0,67.0,0.0
165,4.545554440468374,838.0,77.0,67.0,0.0
166,4.5482513056272404,838.0,76.0,68.0,0.0
167,4.5637193275427625,838.0,75.0,69.0,0.0
168,4.5885218538275465,837.0,76.0,69.0,0.0
169,4.64142948359235,837.0,75.0,70.0,0.0
170,4.696331041835009,836.0,76.0,70.0,0.0
171,4.697830545230472,835.0,77.0,70.0,0.0
172,4.7545144427059025,835.0,76.0,71.0,0.0
173,4.785328485523786,835.0,75.0,72.0,0.0
174,4.789165766042605,835.0,75.0,71.0,0.0
175,4.800787843067201,835.0,74.0,72.0,0.0
176,4.872383741085008,835.0,73.0,73.0,0.0
177,4.892437414113205,834.0,74.0,73.0,0.0
178,4.939848132186057,833.0,75.0,73.0,0.0
179,4.955021864779198,833.0,74.0,74.0,0.0
180,4.957418539572298,833.0,73.0,75.0,0.0
181,4.960600270446725,832.0,74.0,75.0,0.0
182,4.964305904146662,831.0,75.0,75.0,0.0
183,4.9916564183930525,830.0,76.0,75.0,0.0
184,5.022756093604097,830.0,75.0,76.0,0.0
185,5.070909351183672,830.0,74.0,77.0,0.0
186,5.071432054695129,830.0,73.0,78.0,0.0
187,5.092425804952141,829.0,74.0,78.0,0.0
188,5.092736481388771,828.0,75.0,78.0,0.0
189,5.116887043237596,827.0,76.0,78.0,0.0
190,5.120160440492396,826.0,77.0,78.0,0.0
191,5.125155934940672,825.0,78.0,78.0,0.0
192,5.180040820524252,824.0,79.0,78.0,0.0
193,5.180470706417817,823.0,80.0,78.0,0.0
194,5.206902226044606,823.0,80.0,77.0,0.0
195,5.216892167047747,822.0,81.0,77.0,0.0
196,5.22371507229429,822.0,80.0,78.0,0.0
197,5.235299525475879,822.0,80.0,77.0,0.0
198,5.241596629025243,822.0,80.0,76.0,0.0
199,5.260374009577035,822.0,79.0,77.0,0.0
200,5.2633284196889285,822.0,78.0,78.0,0.0
