index,Value
0,[4]
1,[4]
2,[4]
3,[4]
4,[4]
5,[1]
6,[1]
7,[4]
8,[4]
9,[1]
10,[4]
11,[4]
12,[4]
13,[4]
14,[4]
15,[4]
16,[4]
17,[4]
18,[4]
19,[4]
20,[4]
21,[4]
22,[4]
23,[4]
24,[4]
25,[4]
26,[4]
27,[1]
28,[4]
29,[4]
30,[1]
31,[4]
32,[4]
33,[1]
34,[4]
35,[4]
36,[5]
37,[4]
38,[4]
39,[4]
40,[4]
41,[4]
42,[4]
43,[5]
44,[4]
45,[4]
46,[4]
47,[4]
48,[4]
49,[4]
50,[1]
51,[4]
52,[4]
53,[1]
54,[4]
55,[4]
56,[4]
57,[4]
58,[1]
59,[5]
60,[4]
61,[4]
62,[4]
63,[4]
64,[4]
65,[4]
66,[4]
67,[4]
68,[4]
69,[4]
70,[4]
71,[4]
72,[4]
73,[1]
74,[4]
75,[4]
76,[1]
77,[1]
78,[1]
79,[4]
80,[4]
81,[4]
82,[4]
83,[4]
84,[1]
85,[4]
86,[1]
87,[4]
88,[4]
89,[1]
90,[4]
91,[4]
92,[1]
93,[5]
94,[1]
95,[4]
96,[4]
97,[4]
98,[4]
99,[4]
