Iter,Time,S,E,I,R
0,0.0,900.0,100.0,0.0,0.0
1,0.038200135860359904,900.0,99.0,1.0,0.0
2,0.05549116498134077,900.0,98.0,2.0,0.0
3,0.091463343338885,900.0,97.0,3.0,0.0
4,0.17163391435318442,900.0,96.0,4.0,0.0
5,0.20928793635640125,900.0,95.0,5.0,0.0
6,0.24529966958306365,900.0,94.0,6.0,0.0
7,0.2639948816025338,900.0,93.0,7.0,0.0
8,0.28418179748594957,900.0,92.0,8.0,0.0
9,0.3158730244096479,900.0,91.0,9.0,0.0
10,0.478177750339448,900.0,90.0,10.0,0.0
11,0.4956358445524543,900.0,90.0,9.0,0.0
12,0.5115203851653297,900.0,89.0,10.0,0.0
13,0.5160102805255253,900.0,88.0,11.0,0.0
14,0.5336520211692553,900.0,87.0,12.0,0.0
15,0.5612506680907979,900.0,86.0,13.0,0.0
16,0.6512708482429583,900.0,85.0,14.0,0.0
17,0.6662844175587594,900.0,84.0,15.0,0.0
18,0.6703252063908209,900.0,83.0,16.0,0.0
19,0.7606207719352694,900.0,83.0,15.0,0.0
20,0.8129219597589098,899.0,84.0,15.0,0.0
21,0.8352705822385305,899.0,84.0,14.0,0.0
22,0.8859195088207512,899.0,84.0,13.0,0.0
23,0.9633041943976377,899.0,83.0,14.0,0.0
24,0.9634444151050939,899.0,82.0,15.0,0.0
25,0.9759176020285821,899.0,81.0,16.0,0.0
26,1.0076513200261417,898.0,82.0,16.0,0.0
27,1.0298239724676272,897.0,83.0,16.0,0.0
28,1.069644226205805,896.0,82.0,17.0,1.0
29,1.0886094456818196,896.0,81.0,18.0,1.0
30,1.0915341321647636,896.0,80.0,19.0,1.0
31,1.0917818221475581,895.0,81.0,19.0,1.0
32,1.1965364602026243,895.0,81.0,18.0,1.0
33,1.2951837328622349,895.0,81.0,17.0,1.0
34,1.3578429168420112,894.0,82.0,17.0,1.0
35,1.4225314155435758,894.0,81.0,18.0,1.0
36,1.460806835618001,893.0,82.0,18.0,1.0
37,1.51201175381786,892.0,83.0,18.0,1.0
38,1.5213516591217189,892.0,82.0,19.0,1.0
39,1.5320690228478644,892.0,81.0,20.0,1.0
40,1.5475759585430466,892.0,80.0,21.0,1.0
41,1.6800810657296956,891.0,81.0,21.0,1.0
42,1.7177882352580003,891.0,80.0,22.0,1.0
43,1.7204797524558024,891.0,79.0,23.0,1.0
44,1.781991742638666,891.0,78.0,24.0,1.0
45,1.7938935379785557,891.0,77.0,25.0,1.0
46,1.8228085924060182,890.0,78.0,25.0,1.0
47,1.9072824246011026,890.0,77.0,26.0,1.0
48,1.9149626933812232,890.0,77.0,25.0,1.0
49,1.9625229133635353,890.0,77.0,24.0,1.0
50,2.0156640605520373,890.0,76.0,25.0,1.0
51,2.0633594721930137,889.0,77.0,25.0,1.0
52,2.0794567505311057,888.0,78.0,25.0,1.0
53,2.10256348938195,888.0,77.0,26.0,1.0
54,2.1533535881280343,888.0,76.0,27.0,1.0
