index,Value
532,[4]
533,[4]
534,[1]
535,[4]
536,[4]
537,[4]
538,[4]
539,[4]
540,[4]
541,[4]
542,[4]
543,[1]
544,[4]
545,[4]
546,[4]
547,[4]
548,[4]
549,[4]
550,[1]
551,[4]
552,[4]
553,[4]
554,[1]
555,[4]
556,[4]
557,[4]
558,[4]
559,[4]
560,[4]
561,[4]
562,[4]
563,[4]
564,[4]
565,[4]
566,[4]
567,[1]
568,[4]
569,[1]
570,[4]
571,[4]
572,[4]
573,[4]
574,[4]
575,[4]
576,[1]
577,[1]
578,[4]
579,[1]
580,[1]
581,[1]
582,[1]
583,[1]
584,[4]
585,[1]
586,[1]
587,[1]
588,[1]
589,[1]
590,[1]
591,[1]
592,[4]
593,[1]
594,[4]
595,[4]
596,[4]
597,[4]
598,[4]
599,[4]
600,[4]
601,[4]
602,[4]
603,[4]
604,[4]
605,[4]
606,[4]
607,[4]
608,[4]
609,[4]
610,[1]
611,[4]
612,[1]
613,[1]
614,[1]
615,[1]
616,[1]
617,[1]
618,[1]
619,[5]
620,[4]
621,[4]
622,[4]
623,[4]
624,[4]
625,[4]
626,[4]
627,[4]
628,[4]
629,[1]
630,[4]
631,[1]
632,[4]
633,[4]
634,[4]
635,[4]
636,[4]
637,[4]
638,[1]
639,[4]
640,[4]
641,[4]
642,[4]
643,[4]
644,[4]
645,[4]
646,[4]
647,[4]
648,[4]
649,[4]
650,[4]
651,[4]
652,[5]
653,[1]
654,[4]
655,[4]
656,[4]
657,[4]
658,[4]
659,[4]
660,[4]
661,[4]
662,[4]
663,[4]
664,[4]
665,[1]
666,[4]
667,[1]
668,[4]
669,[4]
670,[4]
671,[4]
672,[4]
673,[4]
674,[1]
675,[4]
676,[4]
677,[4]
678,[4]
679,[4]
680,[1]
681,[4]
682,[4]
683,[1]
684,[1]
685,[1]
686,[4]
687,[1]
688,[1]
689,[1]
690,[4]
691,[1]
692,[5]
693,[1]
694,[1]
695,[1]
696,[1]
697,[1]
698,[1]
699,[1]
700,[1]
701,[4]
702,[4]
703,[4]
704,[4]
705,[4]
706,[4]
707,[4]
708,[1]
709,[4]
710,[1]
711,[1]
712,[1]
713,[1]
714,[1]
715,[1]
716,[1]
717,[4]
718,[4]
719,[4]
720,[4]
721,[4]
722,[4]
723,[4]
724,[1]
725,[4]
726,[4]
727,[4]
728,[4]
729,[1]
730,[4]
731,[4]
732,[4]
733,[4]
734,[4]
735,[4]
736,[4]
737,[4]
738,[1]
739,[1]
740,[1]
741,[1]
742,[1]
743,[4]
744,[1]
745,[1]
746,[1]
747,[1]
748,[1]
749,[5]
750,[1]
751,[1]
752,[4]
753,[1]
754,[4]
755,[1]
756,[4]
757,[4]
758,[4]
759,[4]
760,[4]
761,[4]
762,[4]
763,[4]
764,[4]
765,[4]
766,[4]
767,[4]
768,[4]
769,[5]
770,[4]
771,[4]
772,[4]
773,[4]
774,[4]
775,[4]
776,[4]
777,[4]
778,[4]
779,[4]
780,[4]
781,[4]
782,[1]
783,[4]
