Iter,Time,S,E,I,R
0,0.0,900.0,100.0,0.0,0.0
1,1.0,900.0,99.0,1.0,0.0
2,2.0,900.0,98.0,2.0,0.0
3,3.0,900.0,97.0,3.0,0.0
4,4.0,900.0,96.0,4.0,0.0
5,5.0,900.0,95.0,5.0,0.0
6,6.0,900.0,94.0,6.0,0.0
7,7.0,900.0,93.0,7.0,0.0
8,8.0,900.0,92.0,8.0,0.0
9,9.0,899.0,93.0,8.0,0.0
10,10.0,899.0,92.0,9.0,0.0
11,11.0,899.0,91.0,10.0,0.0
12,12.0,899.0,90.0,11.0,0.0
13,13.0,899.0,89.0,12.0,0.0
14,14.0,899.0,88.0,13.0,0.0
15,15.0,899.0,87.0,14.0,0.0
16,16.0,899.0,86.0,15.0,0.0
17,17.0,899.0,85.0,16.0,0.0
18,18.0,899.0,84.0,17.0,0.0
19,19.0,899.0,83.0,18.0,0.0
20,20.0,899.0,82.0,19.0,0.0
21,21.0,899.0,81.0,20.0,0.0
22,22.0,899.0,80.0,21.0,0.0
23,23.0,899.0,79.0,22.0,0.0
24,24.0,899.0,78.0,23.0,0.0
25,25.0,898.0,79.0,23.0,0.0
26,26.0,898.0,78.0,24.0,0.0
27,27.0,898.0,77.0,25.0,0.0
28,28.0,898.0,76.0,26.0,0.0
29,29.0,897.0,77.0,26.0,0.0
30,30.0,896.0,78.0,26.0,0.0
31,31.0,895.0,79.0,26.0,0.0
32,32.0,894.0,80.0,26.0,0.0
33,33.0,894.0,79.0,27.0,0.0
34,34.0,894.0,78.0,28.0,0.0
35,35.0,894.0,77.0,29.0,0.0
36,36.0,894.0,76.0,30.0,0.0
37,37.0,894.0,75.0,31.0,0.0
38,38.0,894.0,75.0,30.0,1.0
39,39.0,893.0,76.0,30.0,1.0
40,40.0,892.0,77.0,30.0,1.0
41,41.0,890.0,78.0,30.0,1.0
42,42.0,889.0,79.0,30.0,1.0
43,43.0,888.0,80.0,30.0,1.0
44,44.0,888.0,79.0,31.0,1.0
45,45.0,887.0,80.0,31.0,1.0
46,46.0,887.0,80.0,30.0,2.0
47,47.0,886.0,81.0,30.0,2.0
48,48.0,886.0,80.0,31.0,2.0
49,49.0,885.0,81.0,31.0,2.0
50,50.0,885.0,80.0,32.0,2.0
51,51.0,885.0,79.0,33.0,2.0
52,52.0,885.0,78.0,34.0,2.0
53,53.0,885.0,77.0,35.0,2.0
54,54.0,885.0,77.0,34.0,3.0
55,55.0,885.0,77.0,33.0,4.0
56,56.0,884.0,78.0,33.0,4.0
57,57.0,883.0,79.0,33.0,4.0
58,58.0,882.0,80.0,33.0,4.0
59,59.0,881.0,81.0,33.0,4.0
60,60.0,881.0,80.0,34.0,4.0
61,61.0,881.0,79.0,35.0,4.0
62,62.0,881.0,78.0,36.0,4.0
63,63.0,880.0,79.0,36.0,4.0
64,64.0,880.0,78.0,37.0,4.0
65,65.0,880.0,77.0,38.0,4.0
66,66.0,880.0,76.0,39.0,4.0
67,67.0,879.0,77.0,39.0,4.0
68,68.0,878.0,78.0,39.0,4.0
69,69.0,878.0,77.0,40.0,4.0
70,70.0,878.0,77.0,39.0,5.0
71,71.0,878.0,77.0,38.0,6.0
72,72.0,878.0,76.0,39.0,6.0
73,73.0,878.0,75.0,40.0,6.0
74,74.0,878.0,74.0,41.0,6.0
75,75.0,878.0,73.0,42.0,6.0
76,76.0,877.0,74.0,42.0,6.0
77,77.0,877.0,73.0,43.0,6.0
78,78.0,877.0,72.0,44.0,6.0
79,79.0,877.0,71.0,45.0,6.0
80,80.0,877.0,70.0,46.0,6.0
81,81.0,877.0,69.0,47.0,6.0
82,82.0,877.0,69.0,46.0,7.0
83,83.0,876.0,70.0,46.0,7.0
84,84.0,876.0,70.0,45.0,8.0
85,85.0,876.0,69.0,46.0,8.0
86,86.0,876.0,68.0,47.0,8.0
87,87.0,876.0,67.0,48.0,8.0
88,88.0,876.0,67.0,47.0,9.0
89,89.0,876.0,66.0,48.0,9.0
90,90.0,875.0,67.0,48.0,9.0
91,91.0,875.0,67.0,47.0,10.0
92,92.0,874.0,68.0,47.0,10.0
93,93.0,874.0,68.0,46.0,11.0
94,94.0,874.0,68.0,45.0,12.0
95,95.0,874.0,67.0,46.0,12.0
96,96.0,874.0,66.0,47.0,12.0
97,97.0,874.0,66.0,46.0,13.0
98,98.0,873.0,67.0,46.0,13.0
99,99.0,872.0,68.0,46.0,13.0
100,100.0,872.0,67.0,47.0,13.0
101,101.0,871.0,68.0,47.0,13.0
102,102.0,870.0,69.0,47.0,13.0
103,103.0,870.0,69.0,46.0,14.0
104,104.0,869.0,70.0,46.0,14.0
105,105.0,869.0,69.0,47.0,14.0
106,106.0,869.0,68.0,48.0,14.0
107,107.0,869.0,67.0,49.0,14.0
108,108.0,868.0,68.0,49.0,14.0
109,109.0,868.0,68.0,48.0,15.0
110,110.0,868.0,68.0,47.0,16.0
111,111.0,868.0,67.0,48.0,16.0
112,112.0,868.0,66.0,49.0,16.0
113,113.0,868.0,65.0,50.0,16.0
114,114.0,868.0,64.0,51.0,16.0
115,115.0,868.0,64.0,50.0,17.0
116,116.0,868.0,64.0,49.0,18.0
117,117.0,868.0,63.0,50.0,18.0
118,118.0,867.0,64.0,50.0,18.0
119,119.0,867.0,64.0,49.0,19.0
120,120.0,867.0,64.0,48.0,20.0
121,121.0,866.0,65.0,48.0,20.0
122,122.0,866.0,64.0,49.0,20.0
123,123.0,865.0,65.0,49.0,20.0
124,124.0,865.0,65.0,48.0,21.0
125,125.0,865.0,64.0,49.0,21.0
126,126.0,865.0,64.0,48.0,22.0
127,127.0,865.0,64.0,47.0,23.0
128,128.0,865.0,64.0,46.0,24.0
129,129.0,865.0,63.0,47.0,24.0
